phi,gamma,category
0.78,0.3,2
0.78,0.41,4
0.78,0.42,4
0.78,0.43,4
0.78,0.44,4
0.78,0.45,4
0.78,0.46,7
0.78,0.47,7
0.78,0.48,1
0.78,0.49,1
0.78,0.4,3
0.78,0.51,1
0.78,0.52,1
0.78,0.53,1
0.78,0.54,1
0.78,0.5,1
0.79,0.21,2
0.79,0.22,2
0.79,0.23,2
0.79,0.24,2
0.79,0.25,2
0.79,0.26,2
0.79,0.27,2
0.79,0.28,2
0.79,0.29,2
0.79,0.2,2
0.79,0.31,2
0.79,0.32,2
0.79,0.33,2
0.79,0.34,2
0.79,0.35,2
0.79,0.36,2
0.79,0.37,2
0.79,0.38,2
0.79,0.39,2
0.79,0.3,2
0.79,0.41,3
0.79,0.42,4
0.79,0.43,4
0.79,0.44,4
0.79,0.45,4
0.79,0.46,7
0.79,0.47,7
0.79,0.48,7
0.79,0.49,1
0.79,0.4,2
0.79,0.51,1
0.79,0.52,1
0.79,0.53,1
0.79,0.54,1
0.79,0.5,1
0.7,0.21,2
0.7,0.22,2
0.7,0.23,2
0.7,0.24,2
0.7,0.25,2
0.7,0.26,2
0.7,0.27,2
0.7,0.28,2
0.7,0.29,2
0.7,0.2,2
0.7,0.31,2
0.7,0.32,2
0.7,0.33,2
0.7,0.34,2
0.7,0.35,3
0.7,0.36,3
0.7,0.37,3
0.7,0.38,3
0.7,0.39,3
0.7,0.3,2
0.7,0.41,1
0.7,0.42,1
0.7,0.43,1
0.7,0.44,1
0.7,0.45,1
0.7,0.46,1
0.7,0.47,1
0.7,0.48,1
0.7,0.49,1
0.7,0.4,3
0.7,0.51,1
0.7,0.52,1
0.7,0.53,1
0.7,0.54,1
0.7,0.5,1
0.81,0.21,2
0.81,0.22,2
0.81,0.23,2
0.81,0.24,2
0.81,0.25,2
0.81,0.26,2
0.81,0.27,2
0.81,0.28,2
0.81,0.29,2
0.81,0.2,2
0.81,0.31,2
0.81,0.32,2
0.81,0.33,2
0.81,0.34,2
0.81,0.35,2
0.81,0.36,2
0.81,0.37,2
0.81,0.38,2
0.81,0.39,2
0.81,0.3,2
0.81,0.41,2
0.81,0.42,2
0.81,0.43,3
0.81,0.44,4
0.81,0.45,4
0.81,0.46,4
0.81,0.47,7
0.81,0.48,7
0.81,0.49,7
0.81,0.4,2
0.81,0.51,1
0.81,0.52,1
0.81,0.53,1
0.81,0.54,1
0.81,0.5,7
0.82,0.21,2
0.82,0.22,2
0.82,0.23,2
0.82,0.24,2
0.82,0.25,2
0.82,0.26,2
0.82,0.27,2
0.82,0.28,2
0.82,0.29,2
0.82,0.2,2
0.82,0.31,2
0.82,0.32,2
0.82,0.33,2
0.82,0.34,2
0.82,0.35,2
0.82,0.36,2
0.82,0.37,2
0.82,0.38,2
0.82,0.39,2
0.82,0.3,2
0.82,0.41,2
0.82,0.42,2
0.82,0.43,2
0.82,0.44,3
0.82,0.45,4
0.82,0.46,4
0.82,0.47,5
0.82,0.48,7
0.82,0.49,7
0.82,0.4,2
0.82,0.51,7
0.82,0.52,1
0.82,0.53,1
0.82,0.54,1
0.82,0.5,7
0.83,0.21,2
0.83,0.22,2
0.83,0.23,2
0.83,0.24,2
0.83,0.25,2
0.83,0.26,2
0.83,0.27,2
0.83,0.28,2
0.83,0.29,2
0.83,0.2,2
0.83,0.31,2
0.83,0.32,2
0.83,0.33,2
0.83,0.34,2
0.83,0.35,2
0.83,0.36,2
0.83,0.37,2
0.83,0.38,2
0.83,0.39,2
0.83,0.3,2
0.83,0.41,2
0.83,0.42,2
0.83,0.43,2
0.83,0.44,2
0.83,0.45,3
0.83,0.46,4
0.83,0.47,4
0.83,0.48,5
0.83,0.49,7
0.83,0.4,2
0.83,0.51,7
0.83,0.52,7
0.83,0.53,1
0.83,0.54,1
0.83,0.5,7
0.84,0.21,2
0.84,0.22,2
0.84,0.23,2
0.84,0.24,2
0.84,0.25,2
0.84,0.26,2
0.84,0.27,2
0.84,0.28,2
0.84,0.29,2
0.84,0.2,2
0.84,0.31,2
0.84,0.32,2
0.84,0.33,2
0.84,0.34,2
0.84,0.35,2
0.84,0.36,2
0.84,0.37,2
0.84,0.38,2
0.84,0.39,2
0.84,0.3,2
0.84,0.41,2
0.84,0.42,2
0.84,0.43,2
0.84,0.44,2
0.84,0.45,2
0.84,0.46,3
0.84,0.47,4
0.84,0.48,5
0.84,0.49,7
0.84,0.4,2
0.84,0.51,7
0.84,0.52,7
0.84,0.53,7
0.84,0.54,1
0.84,0.5,7
0.85,0.21,2
0.85,0.22,2
0.85,0.23,2
0.85,0.24,2
0.85,0.25,2
0.85,0.26,2
0.85,0.27,2
0.85,0.28,2
0.85,0.29,2
0.85,0.2,2
0.85,0.31,2
0.85,0.32,2
0.85,0.33,2
0.85,0.34,2
0.85,0.35,2
0.85,0.36,2
0.85,0.37,2
0.85,0.38,2
0.85,0.39,2
0.85,0.3,2
0.85,0.41,2
0.85,0.42,2
0.85,0.43,2
0.85,0.44,2
0.85,0.45,2
0.85,0.46,2
0.85,0.47,3
0.85,0.48,4
0.85,0.49,5
0.85,0.4,2
0.85,0.51,7
0.85,0.52,7
0.85,0.53,7
0.85,0.54,7
0.85,0.5,7
0.86,0.21,2
0.86,0.22,2
0.86,0.23,2
0.86,0.24,2
0.86,0.25,2
0.86,0.26,2
0.86,0.27,2
0.86,0.28,2
0.86,0.29,2
0.86,0.2,2
0.86,0.31,2
0.86,0.32,2
0.86,0.33,2
0.86,0.34,2
0.86,0.35,2
0.86,0.36,2
0.86,0.37,2
0.86,0.38,2
0.86,0.39,2
0.86,0.3,2
0.86,0.41,2
0.86,0.42,2
0.86,0.43,2
0.86,0.44,2
0.86,0.45,2
0.86,0.46,2
0.86,0.47,2
0.86,0.48,3
0.86,0.49,4
0.86,0.4,2
0.86,0.51,7
0.86,0.52,7
0.86,0.53,7
0.86,0.54,7
0.86,0.5,5
0.87,0.21,2
0.87,0.22,2
0.87,0.23,2
0.87,0.24,2
0.87,0.25,2
0.87,0.26,2
0.87,0.27,2
0.87,0.28,2
0.87,0.29,2
0.87,0.2,2
0.87,0.31,2
0.87,0.32,2
0.87,0.33,2
0.87,0.34,2
0.87,0.35,2
0.87,0.36,2
0.87,0.37,2
0.87,0.38,2
0.87,0.39,2
0.87,0.3,2
0.87,0.41,2
0.87,0.42,2
0.87,0.43,2
0.87,0.44,2
0.87,0.45,2
0.87,0.46,2
0.87,0.47,2
0.87,0.48,2
0.87,0.49,2
0.87,0.4,2
0.87,0.51,7
0.87,0.52,7
0.87,0.53,7
0.87,0.54,7
0.87,0.5,4
0.88,0.21,2
0.88,0.22,2
0.88,0.23,2
0.88,0.24,2
0.88,0.25,2
0.88,0.26,2
0.88,0.27,2
0.88,0.28,2
0.88,0.29,2
0.88,0.2,2
0.88,0.31,2
0.88,0.32,2
0.88,0.33,2
0.88,0.34,2
0.88,0.35,2
0.88,0.36,2
0.88,0.37,2
0.88,0.38,2
0.88,0.39,2
0.88,0.3,2
0.88,0.41,2
0.88,0.42,2
0.88,0.43,2
0.88,0.44,2
0.88,0.45,2
0.88,0.46,2
0.88,0.47,2
0.88,0.48,2
0.88,0.49,2
0.88,0.4,2
0.88,0.51,4
0.88,0.52,7
0.88,0.53,7
0.88,0.54,7
0.88,0.5,2
0.89,0.21,2
0.89,0.22,2
0.89,0.23,2
0.89,0.24,2
0.89,0.25,2
0.89,0.26,2
0.89,0.27,2
0.89,0.28,2
0.89,0.29,2
0.89,0.2,2
0.89,0.31,2
0.89,0.32,2
0.89,0.33,2
0.89,0.34,2
0.89,0.35,2
0.89,0.36,2
0.89,0.37,2
0.89,0.38,2
0.89,0.39,2
0.89,0.3,2
0.89,0.41,2
0.89,0.42,2
0.89,0.43,2
0.89,0.44,2
0.89,0.45,2
0.89,0.46,2
0.89,0.47,2
0.89,0.48,2
0.89,0.49,2
0.89,0.4,2
0.89,0.51,2
0.89,0.52,3
0.89,0.53,7
0.89,0.54,7
0.89,0.5,2
0.8,0.21,2
0.8,0.22,2
0.8,0.23,2
0.8,0.24,2
0.8,0.25,2
0.8,0.26,2
0.8,0.27,2
0.8,0.28,2
0.8,0.29,2
0.8,0.2,2
0.8,0.31,2
0.8,0.32,2
0.8,0.33,2
0.8,0.34,2
0.8,0.35,2
0.8,0.36,2
0.8,0.37,2
0.8,0.38,2
0.8,0.39,2
0.8,0.3,2
0.8,0.41,2
0.8,0.42,3
0.8,0.43,4
0.8,0.44,4
0.8,0.45,4
0.8,0.46,5
0.8,0.47,7
0.8,0.48,7
0.8,0.49,7
0.8,0.4,2
0.8,0.51,1
